FID,Shape,row,col,x,y,row_col_id,ctet_uu_mu_mik_cv_score,ctet_uu_mu_mik_cov_score,ctet_lu_cr_mik_cv_score,ctet_lu_cr_mik_cov_score,hexcr_uu_mu_mik_cv_score,hexcr_uu_mu_mik_cov_score,hexcr_lu_cr_mik_cv_score,hexcr_lu_cr_mik_cov_score,tc99_uu_mu_mik_cv_score,tc99_uu_mu_mik_cov_score,tc99_lu_cr_mik_cv_score,tc99_lu_cr_mik_cov_score,hexcr_uumu_clean_level_exceedance_score,hexcr_lucr_clean_level_exceedance_score,tc99_uumu_clean_level_exceedance_score,tc99_lucr_clean_level_exceedance_score,ctet_uumu_clean_level_exceedance_score,ctet_lucr_clean_level_exceedance_score
40,Point,39,72,568050,138950,10390072,4,1,4,0,2,0,4,3,2,2,1,0,0,0,0,0,0,0
41,Point,39,73,568150,138950,10390073,4,1,4,0,2,0,4,3,2,2,1,0,0,0,0,0,0,0
42,Point,39,74,568250,138950,10390074,4,1,4,0,1,0,4,3,2,2,1,0,0,0,0,0,0,0
43,Point,39,75,568350,138950,10390075,4,1,3,0,1,0,4,3,2,2,1,0,0,0,0,0,0,0
44,Point,39,76,568450,138950,10390076,4,1,2,0,1,0,4,3,2,2,1,0,0,0,0,0,0,0
45,Point,39,77,568550,138950,10390077,4,1,1,0,1,0,4,3,2,2,1,0,0,0,0,0,0,0
46,Point,39,78,568650,138950,10390078,4,1,1,1,1,0,4,3,2,2,1,0,0,0,0,0,0,0
47,Point,39,79,568750,138950,10390079,4,1,1,1,2,0,4,3,2,2,1,0,0,0,0,0,0,0
48,Point,39,80,568850,138950,10390080,4,1,1,1,2,0,4,3,2,2,1,0,0,0,0,0,0,0
49,Point,39,81,568950,138950,10390081,4,1,1,1,2,0,4,3,2,2,1,0,0,0,0,0,0,0
50,Point,39,82,569050,138950,10390082,4,1,1,0,2,0,4,3,2,2,1,0,0,0,0,0,0,0
51,Point,39,83,569150,138950,10390083,4,1,1,0,2,0,4,3,2,2,1,0,0,0,0,0,0,0
52,Point,39,84,569250,138950,10390084,3,1,1,0,2,1,4,3,3,2,1,0,0,0,0,0,0,0
53,Point,39,85,569350,138950,10390085,3,2,2,0,2,1,4,3,3,2,1,0,0,0,0,0,0,0
54,Point,39,86,569450,138950,10390086,3,2,2,0,2,1,4,3,3,2,1,0,0,0,0,0,0,0
55,Point,39,87,569550,138950,10390087,3,2,2,0,3,1,4,3,3,2,1,0,0,0,0,0,0,0
56,Point,39,88,569650,138950,10390088,3,2,2,0,3,1,4,3,3,2,1,0,0,0,0,0,0,0
57,Point,39,89,569750,138950,10390089,3,2,2,0,3,1,4,3,3,2,1,1,0,0,0,0,0,0
58,Point,39,90,569850,138950,10390090,3,2,2,0,3,1,4,3,3,2,1,1,0,0,0,0,0,0
59,Point,39,91,569950,138950,10390091,2,2,2,0,3,2,4,3,3,2,1,1,0,0,0,0,0,0
60,Point,39,92,570050,138950,10390092,2,2,2,1,3,2,4,3,3,2,1,1,0,0,0,0,0,0
61,Point,39,93,570150,138950,10390093,2,2,2,1,3,2,4,3,3,2,1,1,0,0,0,0,0,0
62,Point,39,94,570250,138950,10390094,2,2,2,1,3,2,4,3,3,2,1,2,0,0,0,0,0,0
63,Point,39,95,570350,138950,10390095,1,2,3,1,3,2,4,3,3,3,1,2,0,0,0,0,0,0
64,Point,39,96,570450,138950,10390096,1,3,3,1,3,3,4,3,3,3,1,2,0,0,0,0,0,0
65,Point,39,97,570550,138950,10390097,1,3,3,1,3,3,4,3,3,3,1,2,0,0,0,0,0,0
66,Point,39,98,570650,138950,10390098,1,3,3,1,2,3,4,3,3,3,1,2,0,0,0,0,0,0
67,Point,39,99,570750,138950,10390099,1,3,3,1,2,3,4,3,3,3,1,2,0,0,0,0,0,0
68,Point,39,100,570850,138950,10390100,1,3,3,1,2,3,4,3,3,3,1,2,0,0,0,0,0,0
69,Point,39,101,570950,138950,10390101,1,3,3,1,2,3,4,3,3,3,1,2,0,0,0,0,0,0
70,Point,39,102,571050,138950,10390102,1,3,3,1,2,3,4,3,2,3,1,2,0,0,0,0,0,0
71,Point,39,103,571150,138950,10390103,1,2,3,1,2,3,4,3,2,3,1,2,0,0,0,0,0,0
72,Point,39,104,571250,138950,10390104,1,2,3,1,2,3,4,3,2,3,1,2,0,0,0,0,0,0
73,Point,39,105,571350,138950,10390105,2,2,3,1,2,3,4,3,2,3,2,2,0,0,0,0,0,0
74,Point,39,106,571450,138950,10390106,2,2,3,1,2,3,4,3,2,3,2,2,0,0,0,0,0,0
75,Point,39,107,571550,138950,10390107,2,2,3,1,2,3,4,3,2,3,2,2,0,0,0,0,0,0
76,Point,39,108,571650,138950,10390108,2,2,3,1,2,3,4,3,2,3,2,2,0,0,0,0,0,0
77,Point,39,109,571750,138950,10390109,2,2,3,1,2,3,4,3,2,3,2,2,0,0,0,0,0,0
78,Point,39,110,571850,138950,10390110,2,2,3,1,2,3,4,3,2,3,2,2,0,0,0,0,0,0
79,Point,39,111,571950,138950,10390111,2,2,3,1,2,3,4,3,3,3,2,2,0,0,0,0,0,0
80,Point,39,112,572050,138950,10390112,2,2,3,1,2,3,4,3,3,3,2,2,0,0,0,0,0,0
81,Point,39,113,572150,138950,10390113,3,2,3,1,2,3,4,3,3,3,2,2,0,0,0,0,0,0
82,Point,40,32,564050,138850,10400032,3,2,2,1,3,2,4,3,3,2,2,1,0,0,0,0,0,0
83,Point,40,33,564150,138850,10400033,3,2,2,1,3,2,4,3,3,2,2,1,0,0,0,0,0,0
84,Point,40,34,564250,138850,10400034,3,2,2,1,3,2,4,3,3,2,2,1,0,0,0,0,0,0
85,Point,40,35,564350,138850,10400035,3,2,2,1,3,2,4,3,3,2,2,1,0,0,0,0,0,0
86,Point,40,36,564450,138850,10400036,3,2,2,2,3,2,4,3,3,2,2,1,0,0,0,0,0,0
87,Point,40,37,564550,138850,10400037,3,2,3,2,3,2,4,3,3,2,2,1,0,0,0,0,0,0
88,Point,40,38,564650,138850,10400038,3,2,3,2,3,2,4,3,2,2,2,1,0,0,0,0,0,0
89,Point,40,39,564750,138850,10400039,3,2,3,2,3,2,4,3,2,2,1,1,0,0,0,0,0,0
90,Point,40,40,564850,138850,10400040,3,2,3,2,3,2,4,3,2,2,1,1,0,0,0,0,0,0
91,Point,40,41,564950,138850,10400041,3,2,3,2,3,3,4,3,2,2,1,1,0,0,0,0,0,0
92,Point,40,42,565050,138850,10400042,2,2,3,2,3,3,4,3,2,2,1,1,0,0,0,0,0,0
93,Point,40,43,565150,138850,10400043,2,2,3,2,3,3,4,3,2,2,1,1,0,0,0,0,0,0
94,Point,40,44,565250,138850,10400044,2,2,3,2,3,3,4,3,1,2,1,1,0,0,0,0,0,0
95,Point,40,45,565350,138850,10400045,2,2,4,2,3,3,4,3,1,2,1,1,0,0,0,0,0,0
96,Point,40,46,565450,138850,10400046,2,2,4,2,3,3,4,3,1,2,1,1,0,0,0,0,0,0
97,Point,40,47,565550,138850,10400047,2,2,4,2,3,3,4,3,1,2,1,1,0,0,0,0,0,0
98,Point,40,48,565650,138850,10400048,1,1,3,2,3,3,4,3,1,2,1,1,0,0,0,0,0,0
99,Point,40,49,565750,138850,10400049,1,1,3,2,3,3,4,3,0,2,1,1,0,0,0,0,0,0
100,Point,40,50,565850,138850,10400050,1,1,3,2,3,3,4,3,0,2,1,0,0,0,0,0,0,0
101,Point,40,51,565950,138850,10400051,1,1,3,2,2,3,4,3,0,2,1,0,0,0,0,0,0,0
102,Point,40,52,566050,138850,10400052,1,1,3,3,2,3,4,3,0,2,1,0,0,0,0,0,0.25,0
103,Point,40,53,566150,138850,10400053,1,1,3,3,2,3,4,3,1,2,1,0,0,0,0,0,0,0
104,Point,40,54,566250,138850,10400054,1,1,3,3,2,3,4,3,1,3,1,0,0,0,0,0,0,0
105,Point,40,55,566350,138850,10400055,1,1,3,3,2,3,4,3,1,3,1,0,0,0,0,0,0,0
106,Point,40,56,566450,138850,10400056,1,1,3,3,2,3,4,3,1,3,1,0,0,0,0,0,0,0
107,Point,40,57,566550,138850,10400057,1,1,3,3,2,2,4,3,1,4,1,0,0,0,0,0,0,0
108,Point,40,58,566650,138850,10400058,0,1,3,2,2,2,4,3,1,4,1,0,0,0,0,0,0,0
109,Point,40,59,566750,138850,10400059,0,1,3,2,2,2,4,3,1,4,1,0,0,0,0,0,0,0
110,Point,40,60,566850,138850,10400060,0,1,3,2,2,2,4,3,0,4,1,0,0,0,0,0,0,0
111,Point,40,61,566950,138850,10400061,0,1,3,2,2,2,4,3,0,4,1,0,0,0,0,0,0,0
112,Point,40,62,567050,138850,10400062,0,1,3,2,2,1,4,3,0,4,1,0,0,0,0,0,0,0
113,Point,40,63,567150,138850,10400063,0,1,3,2,3,1,4,3,0,4,1,0,0,0,0,0,0,0
114,Point,40,64,567250,138850,10400064,1,2,3,2,3,1,4,3,1,4,1,0,0,0,0,0,0,0
115,Point,40,65,567350,138850,10400065,1,3,2,2,2,1,4,3,1,4,1,0,0,0,0,0,0,0
116,Point,40,66,567450,138850,10400066,2,3,2,2,2,1,4,3,1,3,1,0,0,0,0,0,0,0
117,Point,40,67,567550,138850,10400067,3,2,3,1,2,1,4,3,1,3,1,0,0,0,0,0,0,0
118,Point,40,68,567650,138850,10400068,3,2,4,1,2,1,4,3,1,2,1,0,0,0,0,0,0,0
119,Point,40,69,567750,138850,10400069,3,1,4,0,2,0,4,3,2,2,1,0,0,0,0,0,0,0
120,Point,40,70,567850,138850,10400070,3,1,4,0,2,0,4,3,2,2,1,0,0,0,0,0,0,0
121,Point,40,71,567950,138850,10400071,4,1,4,0,2,0,4,3,2,2,1,0,0,0,0,0,0,1
122,Point,40,72,568050,138850,10400072,4,1,4,0,1,0,4,3,2,2,1,0,0,0,0,0,0,1
123,Point,40,73,568150,138850,10400073,4,0,4,0,1,0,4,3,2,2,1,0,0,0,0,0,0,1
124,Point,40,74,568250,138850,10400074,4,0,4,0,1,0,4,3,2,2,1,0,0,0,0,0,1,1
125,Point,40,75,568350,138850,10400075,4,0,4,0,1,0,4,3,2,2,1,0,0,0,0,0,1,1
126,Point,40,76,568450,138850,10400076,4,0,4,0,1,0,4,3,2,2,1,0,0,0,0,0,0,0
127,Point,40,77,568550,138850,10400077,4,0,2,0,1,0,4,3,2,2,1,0,0,0,0,0,0,0
128,Point,40,78,568650,138850,10400078,4,0,1,0,1,0,4,3,2,2,1,0,0,0,0,0,0,0
129,Point,40,79,568750,138850,10400079,4,0,1,1,1,0,4,3,2,2,1,0,0,0,0,0,0,0
130,Point,40,80,568850,138850,10400080,4,0,1,1,1,0,4,3,2,1,1,0,0,0,0,0,0,0
131,Point,40,81,568950,138850,10400081,4,1,1,1,2,0,4,3,2,1,1,0,0,0,0,0,0,0
132,Point,40,82,569050,138850,10400082,4,1,1,1,2,0,4,3,2,2,1,0,0,0,0,0,0,0
133,Point,40,83,569150,138850,10400083,4,1,1,1,2,0,4,3,2,2,1,0,0,0,0,0,0,0
134,Point,40,84,569250,138850,10400084,4,1,1,0,2,0,4,3,2,2,1,0,0,0,0,0,0,0
135,Point,40,85,569350,138850,10400085,3,1,1,0,2,1,4,3,3,2,1,0,0,0,0,0,0,0
136,Point,40,86,569450,138850,10400086,3,2,2,0,2,1,4,3,3,2,1,0,0,0,0,0,0,0
137,Point,40,87,569550,138850,10400087,3,2,2,0,2,1,4,3,3,2,1,0,0,0,0,0,0.25,0.25
138,Point,40,88,569650,138850,10400088,3,2,2,0,3,1,4,3,3,2,1,0,0,0,0,0,0.25,0.25
139,Point,40,89,569750,138850,10400089,3,2,2,0,3,1,4,3,3,2,1,0,0,0,0,0,0.25,0
140,Point,40,90,569850,138850,10400090,3,2,2,0,3,1,4,3,3,2,1,1,0,0,0,0,0.25,0
141,Point,40,91,569950,138850,10400091,2,2,2,0,3,1,4,3,3,2,1,1,0,0,0,0,0,0
142,Point,40,92,570050,138850,10400092,2,2,2,1,3,2,4,3,3,2,1,1,0,0,0,0,0,0
143,Point,40,93,570150,138850,10400093,2,2,2,1,3,2,4,3,3,2,1,2,0,0,0,0,0,0
144,Point,40,94,570250,138850,10400094,2,2,2,1,3,2,4,3,3,2,1,2,0,0,0,0,0,0
145,Point,40,95,570350,138850,10400095,1,2,3,1,3,2,4,3,3,3,1,2,0,0,0,0,0,0
146,Point,40,96,570450,138850,10400096,1,2,3,1,3,3,4,3,3,3,1,2,0,0,0,0,0,0
147,Point,40,97,570550,138850,10400097,1,3,3,1,2,3,4,3,3,3,1,2,0,0,0,0,0,0
148,Point,40,98,570650,138850,10400098,1,3,3,1,2,3,4,3,3,3,1,2,0,0,0,0,0,0
149,Point,40,99,570750,138850,10400099,1,3,3,1,2,3,4,3,3,3,1,2,0,0,0,0,0,0
150,Point,40,100,570850,138850,10400100,1,3,3,1,2,3,4,3,3,3,1,2,0,0,0,0,0,0
151,Point,40,101,570950,138850,10400101,1,2,3,1,2,3,4,3,2,3,1,2,0,0,0,0,0,0
152,Point,40,102,571050,138850,10400102,1,2,3,1,2,3,4,3,2,3,1,2,0,0,0,0,0,0
153,Point,40,103,571150,138850,10400103,1,2,3,1,2,3,4,3,2,3,1,2,0,0,0,0,0,0
154,Point,40,104,571250,138850,10400104,1,2,3,1,2,3,4,3,2,3,1,2,0,0,0,0,0,0
155,Point,40,105,571350,138850,10400105,1,2,3,1,2,3,4,3,2,3,1,2,0,0,0,0,0,0
156,Point,40,106,571450,138850,10400106,2,2,3,1,2,3,4,3,2,3,2,2,0,0,0,0,0,0
157,Point,40,107,571550,138850,10400107,2,2,3,1,2,3,4,3,2,3,2,2,0,0,0,0,0,0
158,Point,40,108,571650,138850,10400108,2,2,3,1,2,3,4,3,2,3,2,2,0,0,0,0,0,0
159,Point,40,109,571750,138850,10400109,2,2,3,1,2,3,4,3,2,3,2,2,0,0,0,0,0,0
160,Point,40,110,571850,138850,10400110,2,2,3,1,2,3,4,3,2,3,2,2,0,0,0,0,0,0
161,Point,40,111,571950,138850,10400111,2,2,3,1,2,3,4,3,2,3,2,2,0,0,0,0,0,0
162,Point,40,112,572050,138850,10400112,2,2,3,1,2,3,4,3,2,3,2,2,0,0,0,0,0,0
163,Point,40,113,572150,138850,10400113,3,2,3,1,2,3,4,3,3,3,2,2,0,0,0,0,0,0
164,Point,41,32,564050,138750,10410032,3,2,2,1,3,2,4,3,3,2,2,2,0,0,0,0,0,0
165,Point,41,33,564150,138750,10410033,3,2,2,1,3,2,4,3,3,2,2,2,0,0,0,0,0,0
166,Point,41,34,564250,138750,10410034,3,2,2,1,3,2,4,3,3,2,2,1,0,0,0,0,0,0
167,Point,41,35,564350,138750,10410035,3,2,2,1,3,2,4,3,3,2,2,1,0,0,0,0,0,0
168,Point,41,36,564450,138750,10410036,3,2,3,2,3,2,4,3,3,2,2,1,0,0,0,0,0,0
169,Point,41,37,564550,138750,10410037,3,2,3,2,3,2,4,3,3,2,2,1,0,0,0,0,0,0
170,Point,41,38,564650,138750,10410038,3,2,3,2,3,2,4,3,2,2,1,1,0,0,0,0,0,0
171,Point,41,39,564750,138750,10410039,3,2,3,2,3,2,4,3,2,2,1,1,0,0,0,0,0,0
172,Point,41,40,564850,138750,10410040,3,2,3,2,3,3,4,3,2,2,1,1,0,0,0,0,0,0
173,Point,41,41,564950,138750,10410041,2,2,3,2,3,3,4,3,2,2,1,1,0,0,0,0,0,0
174,Point,41,42,565050,138750,10410042,2,2,3,2,3,3,4,3,2,2,1,1,0,0,0,0,0,0
175,Point,41,43,565150,138750,10410043,2,2,3,2,3,3,4,3,1,2,1,1,0,0,0,0,0,0
176,Point,41,44,565250,138750,10410044,2,2,4,2,3,3,4,3,1,2,1,1,0,0,0,0,0,0
177,Point,41,45,565350,138750,10410045,2,2,4,2,3,2,4,3,1,2,1,1,0,0,0,0,0,0
178,Point,41,46,565450,138750,10410046,1,2,4,2,3,2,4,3,0,2,1,1,0,0,0,0,0,0
179,Point,41,47,565550,138750,10410047,1,2,3,2,3,2,4,3,0,2,1,1,0,0,0,0,0,0
180,Point,41,48,565650,138750,10410048,1,1,3,2,3,3,4,3,0,2,1,1,0,0,0,0,0,0
181,Point,41,49,565750,138750,10410049,1,1,3,3,3,3,4,3,0,2,1,1,0,0,0,0,0,0
182,Point,41,50,565850,138750,10410050,1,1,3,3,2,3,4,3,0,2,1,1,0,0,0,0,0.25,0
183,Point,41,51,565950,138750,10410051,1,1,2,3,2,3,4,3,0,2,1,0,0,0,0,0,0.75,0
184,Point,41,52,566050,138750,10410052,1,1,2,3,2,3,4,3,0,2,1,0,0,0,0,0,0.75,0
185,Point,41,53,566150,138750,10410053,1,1,2,3,2,3,4,3,1,3,1,0,0,0,0,0,0.75,0
186,Point,41,54,566250,138750,10410054,1,1,2,3,2,3,4,3,1,3,1,0,0,0,0,0,0.75,0
187,Point,41,55,566350,138750,10410055,1,1,2,3,2,3,4,3,1,4,1,0,0,0,0,0,0.25,0
188,Point,41,56,566450,138750,10410056,0,1,2,3,2,3,4,3,2,4,1,0,0,0,0,0,0,0
189,Point,41,57,566550,138750,10410057,0,1,2,3,2,3,4,3,2,4,1,0,0,0,0,0,0,0
190,Point,41,58,566650,138750,10410058,0,1,2,3,2,2,4,3,2,4,1,0,0,0,0,0,0,0
191,Point,41,59,566750,138750,10410059,0,1,2,3,2,2,4,3,2,4,1,0,0,0,0,0,0,0
192,Point,41,60,566850,138750,10410060,0,1,3,3,2,2,4,3,2,4,1,0,0,0,0,0,0,0
193,Point,41,61,566950,138750,10410061,0,1,3,2,2,2,4,3,1,4,1,0,0,0,0,0,0,0
194,Point,41,62,567050,138750,10410062,0,1,3,2,2,1,4,3,1,4,1,0,0,0,0,0,0,0
195,Point,41,63,567150,138750,10410063,0,2,2,2,2,1,4,3,1,4,1,0,0,0,0,0,0,0
196,Point,41,64,567250,138750,10410064,1,3,1,2,2,1,4,3,1,4,1,0,0,0,0,0,0,0
197,Point,41,65,567350,138750,10410065,2,3,1,2,2,1,4,3,1,4,1,0,0,0,0,0,0,0
198,Point,41,66,567450,138750,10410066,2,3,2,2,2,1,4,3,1,3,1,0,0,0,0,0,0,0
199,Point,41,67,567550,138750,10410067,3,2,3,1,2,1,4,3,1,3,1,0,0,0,0,0,0,0
200,Point,41,68,567650,138750,10410068,3,1,4,0,2,0,4,3,1,2,1,0,0,0,0,0,0,0
201,Point,41,69,567750,138750,10410069,3,1,4,0,2,0,4,3,2,2,1,0,0,0,0,0,0,1
202,Point,41,70,567850,138750,10410070,4,1,4,0,2,0,4,3,2,2,1,0,0,0,0,0,0,1
203,Point,41,71,567950,138750,10410071,4,1,4,0,1,0,4,3,2,2,1,0,0,0,0,0,1.75,1
204,Point,41,72,568050,138750,10410072,4,0,4,0,1,0,4,3,2,2,1,0,0,0,0,0,2.25,1
205,Point,41,73,568150,138750,10410073,4,0,4,0,1,0,4,3,2,2,1,0,0,0,0,0,2.25,1
206,Point,41,74,568250,138750,10410074,4,0,4,0,1,0,4,3,2,2,1,0,0,0,0,0,2.25,1
207,Point,41,75,568350,138750,10410075,4,0,4,0,1,0,4,3,2,2,1,0,0,0,0,0,1.75,1.75
208,Point,41,76,568450,138750,10410076,4,0,4,0,1,0,4,3,2,2,1,0,0,0,0,0,2.25,0
209,Point,41,77,568550,138750,10410077,4,0,4,0,1,0,4,3,2,2,1,0,0,0,0,0,0,0
210,Point,41,78,568650,138750,10410078,4,0,1,0,1,0,4,3,2,2,1,0,0,0,0,0,0,0
211,Point,41,79,568750,138750,10410079,4,0,1,1,1,0,4,3,2,2,1,0,0,0,0,0,0,0
212,Point,41,80,568850,138750,10410080,4,0,1,1,1,0,4,3,2,2,1,0,0,0,0,0,0,0
213,Point,41,81,568950,138750,10410081,4,0,1,2,1,0,4,3,2,1,1,0,0,0,0,0,0,0
214,Point,41,82,569050,138750,10410082,4,1,1,2,2,0,4,3,2,2,1,0,0,0,0,0,0,0
215,Point,41,83,569150,138750,10410083,4,1,1,2,2,0,4,3,2,2,1,0,0,0,0,0,0,0
216,Point,41,84,569250,138750,10410084,4,1,1,1,2,0,4,3,2,2,1,0,0,0,0,0,0,0
217,Point,41,85,569350,138750,10410085,3,1,1,0,2,0,4,3,3,2,1,0,0,0,0,0,0,0.25
218,Point,41,86,569450,138750,10410086,3,1,1,0,2,1,4,3,3,2,1,0,0,0,0,0,0.25,0.25
219,Point,41,87,569550,138750,10410087,3,2,1,0,2,1,4,3,3,2,1,0,0,0,0,0,0.75,0.25
220,Point,41,88,569650,138750,10410088,3,2,2,0,3,1,4,3,3,2,1,0,0,0,0,0,1.5,0.25
221,Point,41,89,569750,138750,10410089,3,2,2,0,3,1,4,3,3,2,1,0,0,0,0,0,1.5,0.25
222,Point,41,90,569850,138750,10410090,3,2,2,0,3,1,4,3,3,2,1,1,0,0,0,0,0.75,0
223,Point,41,91,569950,138750,10410091,2,2,2,0,3,1,4,3,3,2,1,1,0,0,0,0,0.25,0
224,Point,41,92,570050,138750,10410092,2,2,2,1,3,2,4,3,3,2,1,1,0,0,0,0,0,0
225,Point,41,93,570150,138750,10410093,2,2,2,1,3,2,4,3,3,2,1,2,0,0,0,0,0,0
226,Point,41,94,570250,138750,10410094,2,2,2,1,3,2,4,3,3,3,1,2,0,0,0,0,0,0
227,Point,41,95,570350,138750,10410095,2,2,2,1,3,2,4,3,3,3,1,2,0,0,0,0,0,0
228,Point,41,96,570450,138750,10410096,1,2,3,1,2,3,4,3,3,3,1,2,0,0,0,0,0,0
229,Point,41,97,570550,138750,10410097,1,2,3,1,2,3,4,3,3,3,1,2,0,0,0,0,0,0
230,Point,41,98,570650,138750,10410098,1,2,3,1,2,3,4,3,3,3,1,2,0,0,0,0,0,0
231,Point,41,99,570750,138750,10410099,1,2,3,1,2,3,4,3,2,3,1,2,0,0,0,0,0,0
232,Point,41,100,570850,138750,10410100,1,2,3,1,2,3,4,3,2,3,1,2,0,0,0,0,0,0
233,Point,41,101,570950,138750,10410101,1,2,3,1,2,3,4,3,2,3,1,2,0,0,0,0,0,0
234,Point,41,102,571050,138750,10410102,1,2,3,1,2,3,4,3,2,3,1,2,0,0,0,0,0,0
235,Point,41,103,571150,138750,10410103,1,2,3,1,2,3,4,3,2,3,1,2,0,0,0,0,0,0
236,Point,41,104,571250,138750,10410104,1,2,3,1,2,3,4,3,2,3,1,2,0,0,0,0,0,0
237,Point,41,105,571350,138750,10410105,1,2,3,1,1,3,4,3,2,3,1,2,0,0,0,0,0,0
238,Point,41,106,571450,138750,10410106,1,2,3,1,1,3,4,3,2,3,2,2,0,0,0,0,0,0
239,Point,41,107,571550,138750,10410107,2,2,3,1,1,3,4,3,2,3,2,3,0,0,0,0,0,0
